Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.129560045523484,0.0776994733345288,-0.0197394839489426,0,0,0,17.9414754657368,0.250413641281025,-0.0275530282068482,0.0194899429836188,0.510196082945248,0.00169557630161855,0.645281275839878,0,0,0,0,0,0,package://robot_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_urdf/meshes/base_link.STL,,base-1,Coordinate System9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
First_arm_link_one,-1.11022302462516E-16,0,0.0925579647346043,0,0,0,0.820619449019234,0.00118623926597613,-7.45388993583784E-20,-4.87890977618477E-19,0.0020473718804621,-3.3881317890172E-20,0.00172451369230448,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_one.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_one.STL,,Part4-2,Coordinate System5,Axis5,First_arm_joint_base_to_one,revolute,0,-0.0299999999999999,0.0500000000000014,1.5707963267949,0.0232467136663085,0,base_link,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
First_arm_link_two,-4.75687062726354E-05,0.0867941480153956,0,0,0,0,0.901285081387823,0.00350381791662463,5.23085120719062E-07,2.71050543121376E-19,0.00256151344216402,-2.11419423634673E-18,0.00148192816539553,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_two.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_two.STL,,Part3-3,Coordinate System6,Axis6,First_arm_joint_one_to_two,revolute,0,0,0.105,1.5707963267949,0.766657906914625,1.5707963267949,First_arm_link_one,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
First_arm_link_three,-4.75687062727187E-05,0.0867941480153955,5.55111512312578E-17,0,0,0,0.901285081387823,0.00350381791662463,5.2308512071917E-07,-1.35525271560688E-19,0.00256151344216402,-1.62630325872826E-19,0.00148192816539553,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_three.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_three.STL,,Part3-4,Coordinate System7,Axis7,First_arm_joint_two_to_three,revolute,0,0.114,0,0,0,0.0423575515908315,First_arm_link_two,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
First_arm_link_four,-0.000128945834098004,0.0906282218500548,-0.0210812447258695,0,0,0,0.75518994011678,0.00462712566532353,1.16533105577582E-06,-6.7713012430842E-08,0.00263026093859986,0.000984626560456097,0.00248750011777295,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_four.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_link_four.STL,,Part5-1,Coordinate System8,Axis8,First_arm_joint_three_to_four,revolute,0,0.114,0,0,0,0.717794314227194,First_arm_link_three,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
First_arm_gripper_link,0.0162405262255488,0.0474218295231625,-5.55111512312578E-17,0,0,0,0.100195253442671,0.000219831123448943,-2.10461652432515E-05,8.470329472543E-22,3.1964379827959E-05,2.28698895758661E-20,0.00023506272322257,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_gripper_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://robot_urdf/meshes/First_arm_gripper_link.STL,,part6-1,Coordinate System14,Axis9,First_arm_gripper_joint,revolute,0,0.095248,0.054787,1.5708,-1.5298,-1.5708,First_arm_link_four,0,0,-1,1000,0.5,-3.142,3.142,,,,,,,,
Second_arm_link_one,0,0,0.0925579647346045,0,0,0,0.820619449019234,0.00118623926597613,-5.96311194867027E-19,-1.76182853028894E-19,0.0020473718804621,9.48676900924816E-20,0.00172451369230448,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_one.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_one.STL,,Part4-1,Coordinate System1,Axis1,Second_arm_joint_base_to_one,revolute,0,0,0.18,0,0,0,base_link,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
Second_arm_link_two,-4.75687062726424E-05,0.0867941480153956,0,0,0,0,0.901285081387822,0.00350381791662463,5.23085120719496E-07,-1.62630325872826E-19,0.00256151344216402,-1.0842021724855E-19,0.00148192816539553,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_two.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_two.STL,,Part3-1,Coordinate System2,Axis2,Second_arm_joint_one_to_two,revolute,0,0,0.105,1.5707963267949,-0.35463675728648,1.5707963267949,Second_arm_link_one,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
Second_arm_link_three,-4.75687062726562E-05,0.0867941480153954,-1.66533453693773E-16,0,0,0,0.901285081387822,0.00350381791662463,5.2308512071917E-07,-6.50521303491303E-19,0.00256151344216402,-1.97866896478605E-18,0.00148192816539553,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_three.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_three.STL,,Part3-2,Coordinate System3,Axis3,Second_arm_joint_two_to_three,revolute,0,0.114,0,0,0,0.178792147395066,Second_arm_link_two,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
Second_arm_link_four,-0.00289506003178897,0.0986207807241998,2.33644389335819E-07,0,0,0,1.11620693193957,0.00538992071797305,0.000268307851966755,-2.71642241861213E-08,0.00336702952924214,-5.76335807352156E-08,0.00277888846833115,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_four.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://robot_urdf/meshes/Second_arm_link_four.STL,,Part2-4,Coordinate System4,Axis4,Second_arm_joint_three_to_four,revolute,0,0.114000000000003,0,0,0,1.06264689917294,Second_arm_link_three,0,0,1,1000,0.5,-3.142,3.142,,,,,,,,
